"X.35830865.","X.NULL.","X.ERR13902112.","X.NULL..1","X.NULL..2","X.AB.310.Genetic.Analyzer.","X.AMPLICON.","X.GENOMIC.","X.PCR."
"35830865","NULL","ERR13902112","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830864","NULL","ERR13902237","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830863","NULL","ERR13902328","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830862","NULL","ERR13902461","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830861","NULL","ERR13901876","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830859","NULL","ERR13902189","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830858","NULL","ERR13901845","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830857","NULL","ERR13902296","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830856","NULL","ERR13901912","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830855","NULL","ERR13902469","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830854","NULL","ERR13902140","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830853","NULL","ERR13902088","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830852","NULL","ERR13902203","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830851","NULL","ERR13902408","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830850","NULL","ERR13901827","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830849","NULL","ERR13902319","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830848","NULL","ERR13902095","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830847","NULL","ERR13901870","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830845","NULL","ERR13901970","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830844","NULL","ERR13901919","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830843","NULL","ERR13902019","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830842","NULL","ERR13901967","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830841","NULL","ERR13902037","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830840","NULL","ERR13902466","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830839","NULL","ERR13901828","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830838","NULL","ERR13901895","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830837","NULL","ERR13901824","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830836","NULL","ERR13901859","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830835","NULL","ERR13902075","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830834","NULL","ERR13902065","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830833","NULL","ERR13902107","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830832","NULL","ERR13902014","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
"35830831","NULL","ERR13901799","NULL","NULL","AB 310 Genetic Analyzer","AMPLICON","GENOMIC","PCR"
